,src,rtime,dst,size,sid,mid
1207,1,201144,2,955947,2,18
1208,1,201145,3,955635,2,5
1209,1,201156,2,955036,2,19
1210,1,201174,3,947048,2,8
1211,1,201174,2,948743,2,28
1212,1,201183,2,950058,2,29
1213,1,201193,2,958678,2,30
1214,1,201205,2,952782,2,31
1215,1,201217,2,958138,2,2
1216,1,201224,2,949152,2,5
1217,1,201232,2,955617,2,8
1218,1,201242,2,952012,2,11
1219,1,201250,2,954965,2,16
1220,1,201259,2,953525,2,17
1221,1,201267,2,953130,2,18
1222,1,201270,3,952423,2,11
1223,1,201275,2,956184,2,19
1224,1,201284,2,952038,2,28
1225,1,201295,2,954453,2,29
1226,1,201305,2,946732,2,30
1227,1,201316,2,946632,2,31
1228,1,201324,3,951734,2,16
1229,1,201343,3,952483,2,17
1230,1,201365,3,954754,2,18
1231,1,201370,3,954771,2,19
1232,1,201384,3,952431,2,28
1233,1,201396,3,947870,2,29
1234,1,201403,3,957495,2,30
1235,1,201413,3,956261,2,31
1236,1,201421,3,956634,2,31
1237,1,201433,3,951382,2,2
1238,1,201438,3,953719,2,5
1239,1,201446,3,949389,2,8
1240,1,201455,3,950934,2,11
1241,1,201462,3,950059,2,16
1242,1,201472,3,953737,2,17
1243,1,201479,3,962620,2,18
1244,1,201618,3,951344,2,19
1245,1,201680,3,948955,2,28
1246,1,201693,3,948840,2,29
1247,1,201701,3,951558,2,30
1248,1,204304,2,587301,4,0
1249,1,204312,2,586224,4,5
1250,1,204317,2,583507,4,6
1251,1,204322,2,585843,4,7
1252,1,204327,2,587704,4,17
1253,1,204331,2,586305,4,18
1254,1,204336,2,587918,4,19
1255,1,204342,2,587136,4,24
1256,1,204347,2,586538,4,26
1257,1,204352,2,589381,4,33
1258,1,204357,2,590400,4,35
1259,1,204688,2,584150,4,0
1260,1,204690,2,582094,4,5
1261,1,204695,2,586272,4,6
1262,1,204701,2,585736,4,7
1263,1,204706,2,586628,4,17
1264,1,204710,2,587102,4,18
1265,1,204756,2,583763,4,19
1266,1,204881,2,584558,4,24
1267,1,204968,2,587462,4,26
1268,1,204988,2,586932,4,33
1269,1,204994,2,586238,4,35
1270,1,207681,3,589498,4,0
1271,1,207686,3,587310,4,5
1272,1,207692,3,584691,4,6
1273,1,207705,3,588467,4,7
1274,1,207712,3,583395,4,17
1275,1,207719,3,585058,4,18
1276,1,207727,3,585823,4,19
1277,1,207734,3,588588,4,24
1278,1,207742,3,584244,4,26
1279,1,207748,3,590491,4,33
1280,1,207753,3,590528,4,35
1281,1,207760,3,586757,4,0
1282,1,207765,3,586035,4,5
1283,1,207770,3,585294,4,6
1284,1,207774,3,588945,4,7
1285,1,207779,3,588052,4,17
1286,1,207787,3,585782,4,18
1287,1,207794,3,585833,4,19
1288,1,207801,3,586955,4,24
1289,1,207807,3,586312,4,26
1290,1,207814,3,584788,4,33
1291,1,207824,3,587851,4,35
1292,1,208242,2,949274,2,31
1293,1,208459,2,947054,2,2
1294,1,208469,2,957656,2,5
1295,1,208476,2,947816,2,8
1296,1,208484,2,950395,2,11
1297,1,208493,2,952363,2,16
1298,1,208508,2,956762,2,17
1299,1,208524,2,952743,2,18
1300,1,208540,2,952175,2,19
1301,1,208550,2,946377,2,28
1302,1,208585,2,954729,2,29
1303,1,208598,2,955339,2,30
1304,1,208607,2,945162,2,31
1305,1,208940,2,952659,2,2
1306,1,208946,2,961088,2,5
1307,1,208959,2,951723,2,8
1308,1,208968,2,952420,2,11
1309,1,208976,2,951641,2,16
1310,1,209028,2,952104,2,17
1311,1,209200,2,951871,2,18
1312,1,209263,2,951648,2,19
1313,1,209276,2,950952,2,28
1314,1,209283,2,950200,2,29
1315,1,209292,2,955930,2,30
1316,1,210021,3,955656,2,2
1317,1,210028,3,955573,2,5
1318,1,210037,3,948062,2,8
1319,1,210044,3,946038,2,11
1320,1,210053,3,954274,2,16
1321,1,210063,3,951579,2,17
1322,1,210073,3,955399,2,18
1323,1,210080,3,954952,2,19
1324,1,210089,3,949623,2,28
1325,1,210096,3,951696,2,29
1326,1,210104,3,957089,2,30
1327,1,210113,3,951555,2,31
1328,1,210122,3,955826,2,31
1329,1,210131,3,951274,2,2
1330,1,210139,3,958720,2,5
1331,1,210146,3,955794,2,8
1332,1,210155,3,951657,2,11
1333,1,210162,3,954874,2,16
1334,1,210171,3,952445,2,17
1335,1,210179,3,954149,2,18
1336,1,210188,3,954110,2,19
1337,1,210195,3,952460,2,28
1338,1,210203,3,954240,2,29
1339,1,210212,3,951819,2,30
1340,1,217322,3,584469,4,0
1341,1,217325,2,585307,4,0
1342,1,217332,3,588595,4,5
1343,1,217335,2,584483,4,5
1344,1,217341,3,584702,4,6
1345,1,217345,2,588025,4,6
1346,1,217350,3,583287,4,7
1347,1,217355,2,586056,4,7
1348,1,217359,3,586193,4,17
1349,1,217366,2,587249,4,17
1350,1,217372,3,585193,4,18
1351,1,217376,2,585287,4,18
1352,1,217381,3,585159,4,19
1353,1,217386,2,586505,4,19
1354,1,217390,3,586484,4,24
1355,1,217396,2,583761,4,24
1356,1,217398,3,586084,4,26
1357,1,217405,2,587313,4,26
1358,1,217408,3,587361,4,33
1359,1,217415,2,588801,4,33
1360,1,217423,3,590315,4,35
1361,1,217424,2,587631,4,35
1362,1,217432,3,584971,4,0
1363,1,217433,2,586737,4,0
1364,1,217442,3,586084,4,5
1365,1,217442,2,586606,4,5
1366,1,217451,3,586390,4,6
1367,1,217452,2,585701,4,6
1368,1,217461,2,586332,4,7
1369,1,217467,3,583713,4,7
1370,1,217470,2,585568,4,17
1371,1,217477,3,588609,4,17
1372,1,217480,2,587572,4,18
1373,1,217486,3,581145,4,18
1374,1,217489,2,584881,4,19
1375,1,217496,3,584518,4,19
1376,1,217498,2,587913,4,24
1377,1,217508,2,588693,4,26
1378,1,217509,3,584233,4,24
1379,1,217517,2,584666,4,33
1380,1,217519,3,586048,4,26
1381,1,217527,2,590684,4,35
1382,1,217528,3,587750,4,33
1383,1,217538,3,586131,4,35
1384,1,217542,2,955358,2,31
1385,1,217556,3,955330,2,2
1386,1,217565,2,950687,2,2
1387,1,217570,3,953321,2,5
1388,1,217581,2,950355,2,5
1389,1,217584,3,947535,2,8
1390,1,217597,2,957209,2,8
1391,1,217602,3,947879,2,11
1392,1,217610,2,952937,2,11
1393,1,217620,3,954730,2,16
1394,1,217629,2,956514,2,16
1395,1,217633,3,958486,2,17
1396,1,217645,2,954922,2,17
1397,1,217651,3,949425,2,18
1398,1,217661,2,957261,2,18
1399,1,217670,3,956034,2,19
1400,1,217677,2,951643,2,19
1401,1,217684,3,953075,2,28
1402,1,217692,2,958661,2,28
1403,1,217705,2,950922,2,29
1404,1,217714,2,960373,2,30
1405,1,217720,2,958000,2,2
1406,1,217741,2,950335,2,5
1407,1,217745,3,955880,2,29
1408,1,217749,2,952059,2,8
1409,1,217758,2,954649,2,11
1410,1,217767,2,960108,2,16
1411,1,217773,2,943697,2,17
1412,1,217782,2,956214,2,18
1413,1,217791,2,947634,2,19
1414,1,217800,2,947496,2,28
1415,1,217808,2,951251,2,29
1416,1,217894,3,950822,2,30
1417,1,217904,3,957956,2,31
1418,1,217912,3,958441,2,31
1419,1,217920,3,952154,2,2
1420,1,217937,3,949862,2,5
1421,1,217945,3,955716,2,8
1422,1,217952,3,951732,2,11
1423,1,217960,2,954979,2,30
1424,1,217977,3,952934,2,16
1425,1,217985,3,952729,2,17
1426,1,217992,3,951829,2,18
1427,1,218045,2,947905,2,31
1428,1,218057,3,946984,2,19
1429,1,218064,3,956143,2,28
1430,1,218072,3,956906,2,29
1431,1,218080,3,955215,2,30
1432,1,219329,2,584521,4,0
1433,1,219474,2,585431,4,5
1434,1,219479,2,584743,4,6
1435,1,219483,2,586726,4,7
1436,1,219488,2,586791,4,17
1437,1,219493,2,584928,4,18
1438,1,219498,2,586254,4,19
1439,1,219504,2,586261,4,24
1440,1,219509,2,585334,4,26
1441,1,219514,2,584679,4,33
1442,1,219519,2,588271,4,35
1443,1,219526,2,584005,4,0
1444,1,219529,2,585923,4,5
1445,1,219534,2,586750,4,6
1446,1,219540,2,585664,4,7
1447,1,219545,2,584763,4,17
1448,1,219550,2,586455,4,18
1449,1,219555,2,588829,4,19
1450,1,219560,2,586071,4,24
1451,1,219565,2,586317,4,26
1452,1,219570,2,585210,4,33
1453,1,219575,2,587607,4,35
1454,1,223305,3,587049,4,0
1455,1,223317,3,584140,4,5
1456,1,223319,3,585970,4,6
1457,1,223324,3,588115,4,7
1458,1,223329,3,585703,4,17
1459,1,223336,3,586020,4,18
1460,1,223340,3,588837,4,19
1461,1,223446,3,586568,4,24
1462,1,223452,3,587986,4,26
1463,1,223455,3,587590,4,33
